房屋编号,城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,供暖
TJ2310735537993940992,天津,西青,中北镇,华亭国际,88㎡,整租,南/北,1000元/月,季付价,2室,1厅,1卫,随时入住,3年以上,需提前预约,高楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2310176416718921728,天津,和平,新兴街,新宜里,15㎡,合租,东,1000元/月,季付价,4室,1厅,1卫,随时入住,6~12个月,随时可看,3,6层,无,免费使用,民水,民电,有,集中供暖
TJ2310584074689060864,天津,河东,万新村,松风东里,38㎡,整租,南,1200元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2311333522331680768,天津,河西,友谊路,天成公寓,8㎡,合租,南,698元/月,月付价,3室,1厅,1卫,随时入住,10个月,随时可看,3,7层,无,免费使用,民水,民电,有,集中供暖
TJ2310731317324546048,天津,河西,小海地,华江里,60㎡,整租,南/北,1500元/月,NULL,2室,1厅,1卫,2019/8/31,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313601178719485952,天津,塘沽,新港,千间小区,41㎡,整租,南/北,1400元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2312153754389970944,天津,和平,劝业场,乐寿里,11㎡,整租,南,800元/月,NULL,1室,NULL,NULL,2019/8/17,NULL,只能周末看房,中楼层,3层,无,NULL,民水,民电,有,集中供暖
TJ2310621679023833088,天津,滨海新区,汉沽,九龙里,38㎡,整租,南,800元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,4层,无,NULL,NULL,NULL,有,集中供暖
TJ2310680821276876800,天津,河西,马场街,德才里,18㎡,整租,西,1200元/月,NULL,1室,NULL,NULL,随时入住,NULL,需提前预约,高楼层,4层,无,NULL,民水,民电,有,集中供暖
TJ2313525664780918784,天津,河西,下瓦房,环海公寓,12㎡,合租,南,1237元/月,月付价,4室,1厅,1卫,随时入住,6个月以上,随时可看,4,6层,NULL,NULL,NULL,NULL,NULL,集中供暖
TJ2310859556726505472,天津,塘沽,大沽街,贻成泰和新都,67㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,低楼层,32层,有,NULL,民水,民电,有,集中供暖
TJ2313525494232129536,天津,河西,下瓦房,环海公寓,12㎡,合租,南,1183元/月,月付价,4室,1厅,1卫,随时入住,6个月以上,随时可看,4,6层,NULL,NULL,NULL,NULL,NULL,集中供暖
TJ2310617404835119104,天津,和平,南营门街,文善里,26㎡,整租,南,1200元/月,NULL,1室,NULL,NULL,随时入住,NULL,需提前预约,高楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2313538759784153088,天津,河东,春华街,平福里,14㎡,合租,南,980元/月,月付价,4室,1厅,1卫,随时入住,1年,随时可看,4,6层,无,免费使用,民水,民电,有,集中供暖
TJ2310805684725489664,天津,河西,友谊路,文玥北里,35㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313391246372519936,天津,河东,万新村,远翠中里,14㎡,合租,东,1030元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,5,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2311533898754170880,天津,西青,李七庄,金厦新都庄园静溪园,127㎡,合租,南,950元/月,NULL,3室,1厅,2卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313573965991788544,天津,红桥,铃铛阁,庆丰里,15㎡,合租,南,900元/月,月付价,4室,1厅,1卫,随时入住,1年,随时可看,6,7层,无,免费使用,民水,民电,有,集中供暖
TJ2313021506328215552,天津,滨海新区,大港,开元里,43㎡,整租,南/北,600元/月,NULL,1室,1厅,1卫,随时入住,NULL,只能周末看房,高楼层,4层,无,NULL,民水,民电,有,集中供暖
TJ2311498757994725376,天津,红桥,铃铛阁,康华里,20㎡,合租,西南,1030元/月,月付价,2室,1厅,1卫,随时入住,1~12个月,随时可看,6,7层,无,免费使用,民水,民电,有,集中供暖
TJ2312310878076682240,天津,河西,友谊路,寿园里,22㎡,整租,南,1200元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,低楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2309155875262578688,天津,河西,天塔街,天赋里,48㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,2019/8/15,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2309898678313156608,天津,南开,王顶堤,金宇里,20㎡,整租,南,900元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2309408723837665280,天津,河东,上杭路,程林里,23㎡,整租,南,1200元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2313482672552820736,天津,河北,铁东路,北宁湾-致远家园,6㎡,合租,北,990元/月,季付价,5室,1厅,2卫,随时入住,1年,随时可看,13,33层,NULL,租用车位,NULL,NULL,NULL,NULL
TJ2312243156164820992,天津,河东,唐家口,恋日风景,16㎡,合租,西南,650元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,3,5层,无,免费使用,民水,民电,有,集中供暖
TJ2310128834546515968,天津,南开,鼓楼街,尚佳新苑,22㎡,合租,南,1300元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,17,26层,有,免费使用,民水,民电,有,集中供暖
TJ2310045260556017664,天津,河北,靖江路,金沙江路,59㎡,整租,南/北,1200元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2309263616555630592,天津,河西,小海地,华江里,38㎡,整租,南/北,1200元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2309326385681793024,天津,南开,万兴街,地环里,10㎡,整租,东,800元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2309109079236419584,天津,武清,体育中心,盛世颐园,87㎡,整租,南/北,500元/月,NULL,2室,2厅,1卫,随时入住,NULL,需提前预约,低楼层,24层,有,NULL,民水,民电,有,集中供暖
TJ2313646224043155456,天津,南开,广开街,广丰园,21㎡,合租,南,1150元/月,月付价,3室,1厅,1卫,随时入住,1~2年,随时可看,3,6层,无,NULL,民水,民电,有,NULL
TJ2313830647967793152,天津,河西,挂甲寺,晓星园,10㎡,合租,南,1360元/月,季付价,4室,1厅,2卫,随时入住,1年,随时可看,7,7层,无,租用车位,民水,民电,有,NULL
TJ2313550774225084416,天津,河西,天塔街,宾水北里,9㎡,合租,北,1430元/月,季付价,2室,1厅,1卫,随时入住,1年,随时可看,5,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2308676971560968192,天津,河西,挂甲寺,新城小区,31㎡,整租,西,1500元/月,NULL,1室,1厅,1卫,2019/8/15,NULL,需提前预约,高楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2310702127636824064,天津,河西,陈塘庄,先登里,30㎡,整租,北,800元/月,NULL,1室,NULL,1卫,随时入住,NULL,需提前预约,高楼层,4层,无,NULL,民水,民电,有,集中供暖
TJ2310554569564241920,天津,河西,下瓦房,海华里,26㎡,整租,东/西,1400元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2309304037138235392,天津,红桥,丁字沽街,红原楼,16㎡,整租,南,600元/月,NULL,1室,NULL,NULL,随时入住,NULL,需提前预约,中楼层,3层,无,NULL,NULL,NULL,NULL,NULL
TJ2313562438123134976,天津,和平,新兴街,卫华里,13㎡,合租,北,1530元/月,季付价,2室,1厅,1卫,随时入住,1年,随时可看,6,6层,NULL,租用车位,NULL,NULL,NULL,NULL
TJ2313534033952514048,天津,南开,兴南街,华育里,18㎡,合租,南,1100元/月,季付价,2室,1厅,1卫,随时入住,1~2年,随时可看,6,7层,无,免费使用,民水,民电,有,集中供暖
TJ2313816976784359424,天津,河西,挂甲寺,景兴西里,15㎡,合租,西,1460元/月,季付价,2室,1厅,1卫,随时入住,1年,随时可看,8,8层,有,NULL,民水,民电,有,NULL
TJ2312903718158204928,天津,塘沽,解放路,联合村,39㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,低楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2312764725785796608,天津,东丽,万新街,欣圆小区,49㎡,整租,南,1100元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2309283591038967808,天津,河西,陈塘庄,东江南里,32㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2312136230579740672,天津,河西,桃园街,元兴新里,39㎡,整租,东,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,8层,无,NULL,民水,民电,有,集中供暖
TJ2312241433195069440,天津,南开,万兴街,金潭花园,18㎡,合租,西南,900元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,4,6层,无,免费使用,民水,民电,有,集中供暖
TJ2311365212839608320,天津,塘沽,新港,紫云华庭,11㎡,合租,南,990元/月,季付价,3室,1厅,1卫,随时入住,3个月以上,随时可看,9,28层,有,NULL,民水,民电,有,集中供暖
TJ2309313268272857088,天津,开发区,第五大街,德圣公馆,45㎡,整租,东,1900元/月,NULL,1室,1厅,1卫,随时入住,NULL,一般下班后可看,高楼层,6层,有,NULL,民水,民电,无,集中供暖
TJ2310693788253175808,天津,河西,天塔街,气象南里,50㎡,整租,东南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,27层,有,NULL,民水,民电,有,集中供暖
TJ2309881942268715008,天津,塘沽,工农村,心贻湾,72㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,32层,有,NULL,民水,民电,有,集中供暖
TJ2309143552640155648,天津,滨海新区,大港,前光里,59㎡,整租,东南,600元/月,NULL,2室,1厅,1卫,随时入住,NULL,一般下班后可看,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313605145079840768,天津,南开,长虹街,雅美里,16㎡,合租,南,1000元/月,月付价,4室,1厅,1卫,随时入住,1年,随时可看,6,7层,无,免费使用,民水,民电,有,集中供暖
TJ2313751487148195840,天津,塘沽,新村街,新兴里(塘沽区),41㎡,整租,南/北,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313519900683419648,天津,河东,常州道,柏丽花园,15㎡,合租,南,1200元/月,月付价,3室,1厅,1卫,随时入住,2~10个月,随时可看,1,11层,有,免费使用,民水,民电,有,集中供暖
TJ2309853722328702976,天津,和平,体育馆街,诚基经贸中心,68㎡,整租,西,2100元/月,NULL,1室,1厅,1卫,2019/8/3,NULL,需提前预约,中楼层,50层,有,NULL,民水,民电,有,集中供暖
TJ2300734047510331392,天津,河西,友谊路,西园西里,30㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2301468096646889472,天津,河西,友谊路,澳隆花园,129㎡,整租,南/西/北,1400元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,8层,有,NULL,民水,民电,有,集中供暖
TJ2106333525643886592,天津,南开,广开街,级升里,22㎡,整租,南,1300元/月,月付价,1室,NULL,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2299064037533040640,天津,南开,兴南街,昆裕里,25㎡,整租,东,1200元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,未知,5层,无,NULL,民水,民电,有,集中供暖
TJ2313580643155714048,天津,和平,体育馆街,永勤里,15㎡,合租,南,1000元/月,月付价,4室,1厅,1卫,随时入住,2~10个月,随时可看,8,17层,有,免费使用,民水,民电,有,集中供暖
TJ2141995804725092352,天津,开发区,第二大街,東壹区,89㎡,整租,南/北,2000元/月,月付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,24层,有,NULL,民水,民电,有,集中供暖
TJ2313725325931970560,天津,河东,上杭路,第六大道陆典庭园,12㎡,合租,北,1090元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,4,5层,无,租用车位,民水,民电,有,NULL
TJ2244017835632500736,天津,河西,下瓦房,奉化道,27㎡,合租,北,1000元/月,NULL,1室,1厅,NULL,随时入住,1年以内,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313700416069836800,天津,和平,体育馆街,诚基经贸中心,25㎡,合租,东南,1600元/月,月付价,3室,1厅,2卫,随时入住,7~12个月,随时可看,7,50层,有,NULL,民水,民电,无,集中供暖
TJ2299863008077422592,天津,西青,中北镇,大地十二城枫桥园,90㎡,整租,南/北,1000元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,18层,有,NULL,民水,民电,有,集中供暖
TJ2267155091171573760,天津,南开,向阳路,芥园里,20㎡,整租,西,800元/月,NULL,1室,NULL,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2307780753251115008,天津,河东,中山门街,中山门西里,18㎡,整租,北,800元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2297910979893133312,天津,南开,广开街,颂禹西里,32㎡,整租,南/北,1000元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,8层,无,NULL,民水,民电,有,集中供暖
TJ2298483507766501376,天津,河西,小海地,双山里,28㎡,合租,北,900元/月,NULL,2室,NULL,1卫,随时入住,NULL,需提前预约,高楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2313700291566387200,天津,和平,体育馆街,诚基经贸中心,25㎡,合租,东南,1600元/月,月付价,3室,1厅,2卫,随时入住,7~12个月,随时可看,7,50层,有,NULL,民水,民电,有,集中供暖
TJ2146990685662740480,天津,南开,王顶堤,迎风里,25㎡,合租,西,800元/月,NULL,1室,NULL,1卫,随时入住,1年以内,需提前预约,高楼层,8层,无,NULL,民水,民电,有,集中供暖
TJ2312124039256080384,天津,河北,王串场,清水园,16㎡,合租,南,955元/月,月付价,3室,1厅,1卫,随时入住,7个月,随时可看,5,6层,无,免费使用,民水,民电,有,集中供暖
TJ2268685232611786752,天津,南开,王顶堤,堤中里,74㎡,整租,南/北,1200元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313657957105008640,天津,南开,广开街,卫安南里,20㎡,合租,南,1210元/月,月付价,3室,1厅,1卫,随时入住,1~2年,随时可看,6,6层,无,NULL,民水,民电,有,集中供暖
TJ2238294237517463552,天津,和平,南营门街,市政里,43㎡,整租,南/北,2000元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2311383660982976512,天津,红桥,铃铛阁,康华里,20㎡,合租,南,1100元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,4,6层,无,免费使用,民水,民电,有,集中供暖
TJ2262965381645729792,天津,河北,光复道,秋星里,26㎡,整租,东,1200元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,8层,有,NULL,民水,民电,有,集中供暖
TJ2313484518247366656,天津,河北,建昌道,中国铁建国际城瑞庭凤苑,12㎡,合租,南,1190元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,5,34层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2297099080247017472,天津,河西,越秀路,爱国里,26㎡,整租,南,1000元/月,NULL,1室,NULL,NULL,随时入住,NULL,需提前预约,高楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2313159220771692544,天津,东丽,华明镇,华润橡树湾,9㎡,合租,北,860元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,14,17层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2300463440504037376,天津,河东,真理道,东惠家园,48㎡,整租,西/北,1000元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,31层,有,NULL,民水,民电,有,集中供暖
TJ2296372726325592064,天津,河西,柳林街,宽福里,42㎡,整租,南,1000元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,低楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2238891928261771264,天津,河东,向阳楼,晨光楼,40㎡,整租,南,1200元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2295673624482553856,天津,河西,挂甲寺,新城小区,41㎡,整租,南,1300元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,8层,有,NULL,民水,民电,有,集中供暖
TJ2313159220771692544,天津,东丽,华明镇,华润橡树湾,9㎡,合租,北,860元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,14,17层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2313094778889715712,天津,东丽,华明镇,华润橡树湾,13㎡,合租,南,990元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,16,18层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2313163615982854144,天津,东丽,华明镇,华润橡树湾,14㎡,合租,南,1030元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,9,11层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2299118325617672192,天津,河西,越秀路,红波里,54㎡,整租,南/北,1400元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,低楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2156387293823238144,天津,河西,下瓦房,久仰里,32㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2228198843596406784,天津,滨海新区,大港,福波园,88㎡,整租,南/北,800元/月,NULL,3室,1厅,1卫,随时入住,NULL,需提前预约,低楼层,9层,无,NULL,民水,民电,有,集中供暖
TJ2268854195048423424,天津,河西,小海地,珠江里(河西区),25㎡,整租,南,800元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2313745881637601280,天津,东丽,华明镇,华润橡树湾,11㎡,合租,南,960元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,4,16层,无,NULL,民水,民电,有,NULL
TJ2313476103475298304,天津,东丽,华明镇,华润橡树湾,11㎡,合租,南,1030元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,8,15层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2313582245790613504,天津,河东,唐家口,欣荣馨苑,17㎡,合租,东,1190元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,12,28层,有,租用车位,民水,民电,有,集中供暖
TJ2263439017234677760,天津,红桥,铃铛阁,南头窑大楼,18㎡,整租,南,950元/月,NULL,1室,NULL,1卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2303592773045198848,天津,津南,辛庄,首创暖山,83㎡,整租,南,900元/月,NULL,2室,2厅,1卫,随时入住,NULL,需提前预约,高楼层,33层,有,NULL,民水,民电,有,集中供暖
TJ2241829724714442752,天津,东丽,华明镇,大唐印象,92㎡,整租,南/北,1000元/月,NULL,2室,2厅,1卫,随时入住,NULL,需提前预约,中楼层,11层,无,NULL,NULL,NULL,有,集中供暖
TJ2278682159970009088,天津,河西,陈塘庄,黑牛城道,35㎡,整租,南,1300元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,NULL,NULL,有,集中供暖
TJ2310561398738403328,天津,河东,中山门街,互助南里,8㎡,合租,西,1030元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,5,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2312813101747552256,天津,南开,王顶堤,凤园南里,21㎡,合租,南,1280元/月,月付价,2室,1厅,1卫,随时入住,1年,随时可看,3,6层,无,租用车位,民水,民电,有,集中供暖
TJ2313284337153613824,天津,河西,天塔街,环湖东里,11㎡,合租,南,1460元/月,季付价,2室,1厅,1卫,随时入住,1年,随时可看,5,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2297705887261007872,天津,南开,万兴街,春香里,26㎡,整租,南/北,1100元/月,NULL,1室,NULL,1卫,随时入住,NULL,需提前预约,中楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2293230658937962496,天津,津南,咸水沽,北斗公寓,65㎡,整租,南,850元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,4层,无,NULL,NULL,NULL,有,集中供暖
TJ2306242743699251200,天津,河西,大营门,江苏路,24㎡,整租,西,1300元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2303455621317664768,天津,南开,王顶堤,林苑西里,12㎡,整租,南,1150元/月,NULL,1室,1厅,1卫,2019/8/15,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313494728592588800,天津,河西,越秀路,珠海里,11㎡,合租,北,1490元/月,季付价,2室,1厅,1卫,随时入住,1年,随时可看,5,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2310589451082145792,天津,河东,大直沽,大直沽三号路,18㎡,合租,南,1150元/月,月付价,2室,1厅,1卫,随时入住,1~12个月,随时可看,2,2层,无,免费使用,民水,民电,有,集中供暖
TJ2258464769638416384,天津,河西,挂甲寺,景兴西里,27㎡,整租,西,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,8层,无,NULL,民水,民电,有,集中供暖
TJ2139067017478029312,天津,南开,王顶堤,林苑西里,38㎡,整租,西,1200元/月,年付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,8层,无,NULL,民水,民电,有,集中供暖
TJ2285406184414920704,天津,和平,南市,裕德里,32㎡,整租,东,1500元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,8层,无,NULL,民水,民电,有,集中供暖
TJ2299306642510462976,天津,津南,咸水沽,米兰阳光,54㎡,整租,南,900元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,30层,有,NULL,民水,民电,有,集中供暖
TJ2311599832307351552,天津,西青,中北镇,溪秀苑翠溪园,17㎡,合租,南,850元/月,月付价,3室,1厅,1卫,随时入住,1个月以上,随时可看,4,6层,无,免费使用,民水,民电,有,集中供暖
TJ2307861287520182272,天津,河西,友谊路,文苑楼,21㎡,整租,南/西北,1100元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2313541113920888832,天津,河西,挂甲寺,重华西里,11㎡,合租,南,1390元/月,季付价,4室,1厅,2卫,随时入住,1年,随时可看,4,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2209225300573683712,天津,西青,李七庄,金厦新都庄园梦溪园,84㎡,整租,南/北,800元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2304796795412422656,天津,河北,靖江路,印江南里,38㎡,整租,南,1150元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2307241633781399552,天津,和平,劝业场,陕西路,17㎡,整租,南,1000元/月,NULL,1室,NULL,NULL,随时入住,NULL,一般下班后可看,高楼层,2层,无,NULL,民水,民电,有,集中供暖
TJ2267850743241244672,天津,塘沽,杭州道,广州道,42㎡,整租,南,1400元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2298561547892695040,天津,西青,中北镇,燕宇花园,74㎡,整租,南/北,800元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,低楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313649925843320832,天津,南开,长虹街,平陆西里,21㎡,合租,东北,1300元/月,月付价,2室,1厅,1卫,随时入住,1年,随时可看,3,6层,无,NULL,民水,民电,有,集中供暖
TJ2285552334584938496,天津,北辰,双街,城际美景家园,60㎡,整租,南,1000元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,29层,有,NULL,民水,民电,有,集中供暖
TJ2309141036226068480,天津,红桥,铃铛阁,晓春里,14㎡,合租,南,850元/月,月付价,3室,1厅,1卫,随时入住,10个月,随时可看,11,14层,有,免费使用,民水,民电,有,集中供暖
TJ2262011749455118336,天津,武清,佛罗伦萨,经纬城市绿洲华清家园,94㎡,整租,南,1000元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,低楼层,33层,有,NULL,民水,民电,有,集中供暖
TJ2311508275516424192,天津,河北,靖江路,靖辰南里,18㎡,合租,南,810元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,5,6层,无,免费使用,民水,民电,有,集中供暖
